name,nome
ability and willingness to travel,capacidade e vontade de viagem
ability to adapt,capacidade de adaptação
ability to analyze,capacidade de analisar
ability to anticipate,capacidade de antecipar
ability to buy and sell,capacidade de comprar e vender
ability to communicate,Capacidade de comunicar
ability to compile a report,capacidade de compilar um relatório
ability to conceptualize,capacidade de conceituar
ability to consultatively sell,capacidade de vender consultatively
ability to continually learn,capacidade de aprender continuamente
ability to coordinate,capacidade de coordenar
ability to effectively prioritize,capacidade para eficazmente prioritize
ability to elicit cooperation,capacidade de cooperação induzem
ability to foster cooperation,capacidade de promover a cooperação
ability to interact,capacidade de interagir
ability to interpret,capacidade de interpretar
ability to lead and coordinate,capacidade de liderar e coordenar
ability to learn,capacidade de aprender
ability to learn and adapt,capacidade de aprender e adaptar
ability to listen,capacidade de ouvir
ability to manage,capacidade de gerir
ability to manageorganise,capacidade de manageorganise
ability to motivate,capacidade de motivar
ability to navigate and manage,capacidade de navegar e gerenciar
ability to negotiate,capacidade de negociar
ability to obtain and analyze,capacidade de obter e analisar
ability to organize,capacidade de organizar
ability to persuade,capacidade de persuadir
ability to plan,capacidade de planejar
ability to plan and prioritize,capacidade de planejar e priorizar
ability to present and report,capacidade de presente e relatório
ability to prioritize,capacidade de priorizar
ability to read and interpret,capacidade de ler e interpretar
ability to report,capacidade de relatório
ability to sell,capacidade de vender
ability to travel,capacidade de curso
ability to up sell,capacidade de vender-se
able to communicate,capaz de se comunicar
able to influence and persuade,capaz de influenciar e persuadir
able to influence and persuade able to influence and persuade,capaz de influenciar e persuadir capaz de influenciar e persuadir
able to manage and prioritize,capaz de gerenciar e priorizar
able to multitask,capazes de multitarefa
able to multitask and prioritize,capaz de executar múltiplas tarefas e priorizar
able to persuade,capaz de persuadir
able to prioritize,capaz de priorizar
absenceable to communicate,absenceable para se comunicar
abstract thinking,pensamento abstrato
accuracy,precisão
accuracy in all work,precisão em todo o trabalho
accuracy in their work,precisão no seu trabalho
accuracy in your work,precisão em seu trabalho
accuracy in your workalways,precisão em seus workalways
accurate,preciso
achiever,empreendedor
achieving challenging goals,alcançar metas desafiadoras
achieving company goals,alcançar os objetivos da empresa
achieving goals,atingir metas
achieving their own goals,alcançar seus próprios objetivos
achieving your goals,alcançar seus objetivos
action oriented,ação orientada
active,ativo
active and outgoing personality,personalidade ativa e de saída
active in person,activo em pessoa
active person,Pessoa ativa
active sales person,pessoa vendas activas
administrative details skills,Detalhes administrativos habilidades
administrative skills,capacidades administrativas
